# Oscilloscope Data

# Seconds	fp_meas.acc_i
0.000	-4.63
0.010	-4.63
0.020	-4.64
0.030	-4.64
0.040	-4.64
0.050	-4.61
0.060	-4.64
0.070	-4.57
0.080	-4.64
0.090	-4.63
0.100	-4.63
0.110	-4.66
0.120	-4.67
0.130	-4.64
0.140	-4.66
0.150	-4.61
0.160	-4.65
0.170	-4.66
0.180	-4.63
0.190	-4.65
0.200	-4.64
0.210	-4.61
0.220	-4.61
0.230	-4.65
0.240	-4.62
0.250	-4.66
0.260	-4.63
0.270	-4.68
0.280	-4.62
0.290	-4.67
0.300	-4.67
0.310	-4.70
0.320	-4.65
0.330	-4.63
0.340	-4.63
0.350	-4.64
0.360	-4.67
0.370	-4.62
0.380	-4.63
0.390	-4.67
0.400	-4.61
0.410	-4.65
0.420	-4.63
0.430	-4.63
0.440	-4.66
0.450	-4.61
0.460	-4.66
0.470	-4.64
0.480	-4.65
0.490	-4.59
0.500	-4.63
0.510	-4.67
0.520	-4.64
0.530	-4.63
0.540	-4.64
0.550	-4.63
0.560	-4.68
0.570	-4.62
0.580	-4.60
0.590	-4.64
0.600	-4.60
0.610	-4.67
0.620	-4.68
0.630	-4.63
0.640	-4.65
0.650	-4.65
0.660	-4.68
0.670	-4.61
0.680	-4.68
0.690	-4.64
0.700	-4.63
0.710	-4.66
0.720	-4.67
0.730	-4.68
0.740	-4.61
0.750	-4.57
0.760	-4.63
0.770	-4.67
0.780	-4.63
0.790	-4.62
0.800	-4.64
0.810	-4.64
0.820	-4.64
0.830	-4.64
0.840	-4.63
0.850	-4.65
0.860	-4.63
0.870	-4.65
0.880	-4.70
0.890	-4.67
0.900	-4.61
0.910	-4.61
0.920	-4.62
0.930	-4.63
0.940	-4.64
0.950	-4.64
0.960	-4.61
0.970	-4.62
0.980	-4.62
0.990	-4.64
1.000	-4.66
1.010	-4.65
1.020	-4.66
1.030	-4.65
1.040	-4.67
1.050	-4.69
1.060	-4.63
1.070	-4.61
1.080	-4.59
1.090	-4.64
1.100	-4.64
1.110	-4.69
1.120	-4.64
1.130	-4.65
1.140	-4.67
1.150	-4.63
1.160	-4.64
1.170	-4.63
1.180	-4.65
1.190	-4.67
1.200	-4.67
1.210	-4.65
1.220	-4.63
1.230	-4.69
1.240	-4.66
1.250	-4.66
1.260	-4.64
1.270	-4.63
1.280	-4.65
1.290	-4.64
1.300	-4.68
1.310	-4.70
1.320	-4.62
1.330	-4.64
1.340	-4.66
1.350	-4.65
1.360	-4.63
1.370	-4.61
1.380	-4.56
1.390	-4.65
1.400	-4.66
1.410	-4.63
1.420	-4.61
1.430	-4.64
1.440	-4.68
1.450	-4.63
1.460	-4.67
1.470	-4.65
1.480	-4.64
1.490	-4.65
1.500	-4.64
1.510	-4.62
1.520	-4.68
1.530	-4.59
1.540	-4.62
1.550	-4.67
1.560	-4.69
1.570	-4.63
1.580	-4.63
1.590	-4.65
1.600	-4.63
1.610	-4.65
1.620	-4.61
1.630	-4.62
1.640	-4.61
1.650	-4.62
1.660	-4.63
1.670	-4.63
1.680	-4.62
1.690	-4.67
1.700	-4.63
1.710	-4.67
1.720	-4.61
1.730	-4.64
1.740	-4.65
1.750	-4.62
1.760	-4.64
1.770	-4.59
1.780	-4.64
1.790	-4.65
1.800	-4.64
1.810	-4.61
1.820	-4.61
1.830	-4.66
1.840	-4.64
1.850	-4.60
1.860	-4.63
1.870	-4.63
1.880	-4.62
1.890	-4.62
1.900	-4.67
1.910	-4.68
1.920	-4.63
1.930	-4.64
1.940	-4.62
1.950	-4.66
1.960	-4.64
1.970	-4.64
1.980	-4.69
1.990	-4.68
2.000	-4.66
2.010	-4.61
2.020	-4.62
2.030	-4.66
2.040	-4.64
2.050	-4.64
2.060	-4.64
2.070	-4.64
2.080	-4.65
2.090	-4.61
2.100	-4.65
2.110	-4.62
2.120	-4.63
2.130	-4.64
2.140	-4.64
2.150	-4.65
2.160	-4.58
2.170	-4.62
2.180	-4.66
2.190	-4.66
2.200	-4.63
2.210	-4.64
2.220	-4.61
2.230	-4.64
2.240	-4.64
2.250	-4.66
2.260	-4.67
2.270	-4.64
2.280	-4.70
2.290	-4.68
2.300	-4.62
2.310	-4.64
2.320	-4.66
2.330	-4.66
2.340	-4.71
2.350	-4.62
2.360	-4.62
2.370	-4.63
2.380	-4.67
2.390	-4.61
2.400	-4.69
2.410	-4.64
2.420	-4.65
2.430	-4.69
2.440	-4.58
2.450	-4.68
2.460	-4.63
2.470	-4.63
2.480	-4.68
2.490	-4.63
2.500	-4.64
2.510	-4.64
2.520	-4.64
2.530	-4.62
2.540	-4.63
2.550	-4.58
2.560	-4.63
2.570	-4.62
2.580	-4.62
2.590	-4.63
2.600	-4.62
2.610	-4.67
2.620	-4.67
2.630	-4.66
2.640	-4.66
2.650	-4.64
2.660	-4.60
2.670	-4.63
2.680	-4.65
2.690	-4.65
2.700	-4.64
2.710	-4.63
2.720	-4.61
2.730	-4.60
2.740	-4.63
2.750	-4.68
2.760	-4.63
2.770	-4.66
2.780	-4.65
2.790	-4.65
2.800	-4.64
2.810	-4.69
2.820	-4.64
2.830	-4.64
2.840	-4.67
2.850	-4.65
2.860	-4.63
2.870	-4.65
2.880	-4.64
2.890	-4.65
2.900	-4.65
2.910	-4.65
2.920	-4.68
2.930	-4.62
2.940	-4.63
2.950	-4.60
2.960	-4.62
2.970	-4.66
2.980	-4.64
2.990	-4.63
3.000	-4.60
3.010	-4.60
3.020	-4.65
3.030	-4.64
3.040	-4.65
3.050	-4.63
3.060	-4.62
3.070	-4.63
3.080	-4.62
3.090	-4.62
3.100	-4.61
3.110	-4.63
3.120	-4.61
3.130	-4.65
3.140	-4.63
3.150	-4.61
3.160	-4.65
3.170	-4.64
3.180	-4.64
3.190	-4.62
3.200	-4.63
3.210	-4.62
3.220	-4.65
3.230	-4.63
3.240	-4.66
3.250	-4.63
3.260	-4.64
3.270	-4.62
3.280	-4.64
3.290	-4.61
3.300	-4.64
3.310	-4.62
3.320	-4.67
3.330	-4.61
3.340	-4.65
3.350	-4.64
3.360	-4.67
3.370	-4.65
3.380	-4.69
3.390	-4.66
3.400	-4.67
3.410	-4.63
3.420	-4.63
3.430	-4.68
3.440	-4.63
3.450	-4.64
3.460	-4.66
3.470	-4.61
3.480	-4.64
3.490	-4.64
3.500	-4.62
3.510	-4.63
3.520	-4.66
3.530	-4.66
3.540	-4.63
3.550	-4.64
3.560	-4.66
3.570	-4.64
3.580	-4.62
3.590	-4.60
3.600	-4.67
3.610	-4.62
3.620	-4.62
3.630	-4.66
3.640	-4.61
3.650	-4.65
3.660	-4.64
3.670	-4.64
3.680	-4.66
3.690	-4.66
3.700	-4.69
3.710	-4.63
3.720	-4.63
3.730	-4.65
3.740	-4.63
3.750	-4.62
3.760	-4.64
3.770	-4.64
3.780	-4.61
3.790	-4.62
3.800	-4.62
3.810	-4.58
3.820	-4.62
3.830	-4.67
3.840	-4.64
3.850	-4.63
3.860	-4.62
3.870	-4.64
3.880	-4.63
3.890	-4.65
3.900	-4.65
3.910	-4.64
3.920	-4.63
3.930	-4.65
3.940	-4.66
3.950	-4.62
3.960	-4.63
3.970	-4.65
3.980	-4.62
3.990	-4.66
4.000	-4.65
4.010	-4.66
4.020	-4.63
4.030	-4.60
4.040	-4.62
4.050	-4.63
4.060	-4.58
4.070	-4.65
4.080	-4.62
4.090	-4.62
4.100	-4.67
4.110	-4.61
4.120	-4.64
4.130	-4.64
4.140	-4.66
4.150	-4.67
4.160	-4.60
4.170	-4.66
4.180	-4.66
4.190	-4.62
4.200	-4.64
4.210	-4.67
4.220	-4.68
4.230	-4.64
4.240	-4.63
4.250	-4.62
4.260	-4.64
4.270	-4.60
4.280	-4.65
4.290	-4.63
4.300	-4.63
4.310	-4.61
4.320	-4.64
4.330	-4.59
4.340	-4.68
4.350	-4.63
4.360	-4.64
4.370	-4.63
4.380	-4.67
4.390	-4.67
4.400	-4.65
4.410	-4.68
4.420	-4.64
4.430	-4.64
4.440	-4.66
4.450	-4.66
4.460	-4.69
4.470	-4.64
4.480	-4.59
4.490	-4.62
4.500	-4.63
4.510	-4.64
4.520	-4.63
4.530	-4.65
4.540	-4.60
4.550	-4.60
4.560	-4.60
4.570	-4.66
4.580	-4.63
4.590	-4.64
4.600	-4.62
4.610	-4.60
4.620	-4.63
4.630	-4.63
